"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"528","Nils Hoglander","VAN","L","4","51.383333333333","51","42","54.84","34","28","54.84","23","18","56.10","0","1","0.00","2.59","1.51","63.19","27","18","60.00","13","6","68.42","0","1","0.00","14","12","53.85","0","0","-","30","21","58.82","0","0","-","0.00","94.44","0.944","14","12","9","33","60.87","18","13","17","51.43"
"121","Mika Zibanejad","NYR","C","34","696.7","789","650","54.83","578","474","54.94","358","313","53.35","34","37","47.89","42.55","40.61","51.17","388","307","55.83","164","107","60.52","16","14","53.33","224","200","52.83","11","10","52.38","499","394","55.88","5","8","38.46","9.50","88.18","0.977","150","125","111","463","57.47","305","182","229","57.12"
"62","Anders Lee","NYI","L","34","525.13333333333","593","489","54.81","444","344","56.35","289","216","57.23","31","25","55.36","36.89","27.35","57.43","323","228","58.62","141","99","58.75","17","13","56.67","182","129","58.52","10","9","52.63","326","269","54.79","3","2","60.00","10.73","88.43","0.992","106","93","61","403","63.47","201","139","133","60.18"
"527","Trevor Zegras","PHI","C","32","593.15","598","494","54.76","448","373","54.57","297","231","56.25","43","26","62.32","36.33","25.37","58.89","328","251","56.65","148","99","59.92","18","8","69.23","180","152","54.22","18","12","60.00","333","260","56.16","6","5","54.55","14.48","88.74","1.032","109","85","64","432","63.01","224","135","117","65.69"
"669","Zack Bolduc","MTL","R","33","458.63333333333","469","388","54.73","348","267","56.59","223","176","55.89","28","23","54.90","29.02","19.44","59.89","236","183","56.32","96","78","55.17","12","12","50.00","140","105","57.14","10","6","62.50","278","199","58.28","6","4","60.00","12.56","86.93","0.995","100","93","34","312","74.63","172","126","87","66.41"
"408","Morgan Geekie","BOS","C","34","594.05","670","556","54.65","476","398","54.46","308","264","53.85","50","32","60.98","39.89","32.2","55.33","313","278","52.96","121","112","51.93","20","15","57.14","192","166","53.63","20","12","62.50","441","286","60.66","9","4","69.23","16.23","87.88","1.041","150","106","63","349","70.42","284","156","154","64.84"
"532","Bobby Brink","PHI","R","32","502.25","463","385","54.60","333","275","54.77","220","178","55.28","23","19","54.76","29.35","20.31","59.10","241","188","56.18","112","79","58.64","12","8","60.00","129","109","54.20","11","7","61.11","246","203","54.79","0","4","0.00","10.45","89.33","0.998","99","106","50","376","66.44","156","147","109","58.87"
"320","Jake DeBrusk","VAN","L","33","588.56666666667","649","540","54.58","487","399","54.97","307","246","55.52","32","29","52.46","43.14","34.48","55.58","359","249","59.05","161","108","59.85","20","13","60.61","198","141","58.41","9","7","56.25","406","313","56.47","2","2","50.00","10.42","88.21","0.986","169","118","103","322","62.13","296","155","165","64.21"
"796","Beckett Sennecke","ANA","R","34","565.01666666667","652","544","54.52","490","405","54.75","298","260","53.41","35","28","55.56","34.4","32.01","51.80","317","295","51.80","137","116","54.15","18","14","56.25","180","179","50.14","8","8","50.00","384","262","59.44","9","3","75.00","11.74","89.23","1.010","110","131","57","434","65.87","224","181","118","65.50"
"310","Zach Werenski","CBJ","D","33","881.41666666667","1034","865","54.45","749","652","53.46","509","438","53.75","58","44","56.86","55.11","46.27","54.36","505","403","55.62","199","175","53.21","29","17","63.04","306","228","57.30","22","11","66.67","643","517","55.43","7","13","35.00","11.39","89.95","1.013","149","162","106","451","58.43","387","248","267","59.17"
"124","Dougie Hamilton","N.J","D","29","623.58333333333","690","578","54.42","511","412","55.36","338","273","55.32","24","28","46.15","38.92","29.04","57.27","339","291","53.81","150","113","57.03","11","15","42.31","189","178","51.50","9","6","60.00","376","330","53.26","3","6","33.33","7.10","89.74","0.968","79","164","101","408","43.89","192","213","201","48.85"
"268","Danton Heinen","PIT","L","12","143.45","142","119","54.41","104","82","55.91","62","54","53.45","4","2","66.67","7.11","4.59","60.78","66","51","56.41","31","23","57.41","2","1","66.67","35","28","55.56","1","1","50.00","80","84","48.78","1","0","100.00","6.45","96.30","1.027","16","24","32","122","33.33","27","34","52","34.18"
"671","Mason McTavish","ANA","C","34","553.61666666667","635","532","54.41","462","398","53.72","283","267","51.45","33","27","55.00","33.81","32.29","51.15","324","305","51.51","138","120","53.49","15","14","51.72","186","185","50.13","9","7","56.25","375","253","59.71","9","4","69.23","11.66","89.89","1.015","118","114","57","422","67.43","228","161","127","64.23"
"111","Boone Jenner","CBJ","C","19","304.71666666667","373","313","54.37","235","224","51.20","167","156","51.70","18","24","42.86","18.46","20.61","47.24","167","159","51.23","68","82","45.33","8","8","50.00","99","77","56.25","6","9","40.00","236","155","60.36","3","5","37.50","10.78","84.62","0.954","54","44","44","222","55.10","111","76","86","56.35"
"239","William Nylander","TOR","R","28","553.36666666667","608","511","54.33","446","377","54.19","295","265","52.68","46","32","58.97","40.56","24.88","61.99","328","253","56.45","157","98","61.57","25","11","69.44","171","155","52.45","6","11","35.29","399","271","59.55","13","8","61.90","15.59","87.92","1.035","158","110","56","334","73.83","286","163","138","67.45"
"26","Drew Doughty","L.A","D","25","561.11666666667","580","488","54.31","405","358","53.08","277","242","53.37","30","25","54.55","32","25.06","56.08","263","226","53.78","121","99","55.00","18","9","66.67","142","127","52.79","6","8","42.86","345","287","54.59","5","7","41.67","10.83","89.67","1.005","69","131","69","366","50.00","182","209","174","51.12"
"122","Mark Scheifele","WPG","C","32","648.53333333333","696","586","54.29","531","450","54.13","361","311","53.72","59","35","62.77","46.12","35.7","56.37","407","290","58.39","187","124","60.13","28","19","59.57","220","166","56.99","21","8","72.41","394","303","56.53","9","7","56.25","16.34","88.75","1.051","162","113","78","349","67.50","286","157","146","66.20"
"780","Will Smith","S.J","C","33","591.08333333333","624","526","54.26","438","399","52.33","309","265","53.83","44","24","64.71","36.58","29.95","54.98","336","253","57.05","120","128","48.39","16","14","53.33","216","125","63.34","20","5","80.00","388","281","58.00","8","4","66.67","14.24","90.94","1.052","128","104","51","373","71.51","293","157","133","68.78"
"582","Mitchell Chaffee","T.B","R","7","66.433333333333","64","54","54.24","46","40","53.49","26","27","49.06","0","0","-","3.71","2.66","58.23","30","23","56.60","14","12","53.85","0","0","-","16","11","59.26","0","0","-","35","30","53.85","0","0","-","0.00","100.00","1.000","14","16","7","58","66.67","18","22","13","58.06"
"507","Yegor Sharangovich","CGY","C","30","453.61666666667","484","409","54.20","339","300","53.05","228","206","52.53","20","28","41.67","23.43","21.13","52.58","213","205","50.96","89","92","49.17","8","14","36.36","124","113","52.32","6","8","42.86","296","219","57.48","4","5","44.44","8.77","86.41","0.952","82","67","40","382","67.21","155","114","88","63.79"
"557","Jackson LaCombe","ANA","D","34","858.53333333333","961","812","54.20","708","609","53.76","479","401","54.43","52","55","48.60","55.19","53.65","50.71","472","449","51.25","205","198","50.87","27","29","48.21","267","251","51.54","14","15","48.28","571","482","54.23","10","8","55.56","10.86","86.28","0.971","164","153","175","450","48.38","355","236","315","52.99"
"45","Evander Kane","VAN","L","32","554.8","621","525","54.19","445","392","53.17","269","261","50.75","29","28","50.88","33.06","29.45","52.88","302","258","53.93","132","121","52.17","15","10","60.00","170","137","55.37","9","10","47.37","371","304","54.96","5","4","55.56","10.78","89.27","1.001","111","101","71","367","60.99","205","135","157","56.63"
"783","Jason Polin","COL","R","2","11.95","13","11","54.17","10","5","66.67","6","2","75.00","1","0","100.00","0.42","0.14","74.86","7","4","63.64","2","1","66.67","1","0","100.00","5","3","62.50","0","0","-","7","8","46.67","0","0","-","16.67","100.00","1.167","2","1","1","15","66.67","4","1","3","57.14"
"472","Jesperi Kotkaniemi","CAR","C","17","180.95","190","161","54.13","129","110","53.97","81","73","52.60","9","8","52.94","6.69","7.73","46.39","76","73","51.01","28","34","45.16","4","5","44.44","48","39","55.17","2","3","40.00","131","84","60.93","3","0","100.00","11.11","89.04","1.002","42","58","23","122","64.62","86","72","44","66.15"
"139","Morgan Rielly","TOR","D","31","684","771","654","54.11","591","489","54.72","386","347","52.66","46","42","52.27","43.16","31.35","57.92","398","303","56.78","178","124","58.94","26","27","49.06","220","179","55.14","13","7","65.00","516","368","58.37","7","6","53.85","11.92","87.90","0.998","170","138","72","539","70.25","343","201","157","68.60"
"256","Brandon Montour","SEA","D","27","592.05","638","542","54.07","445","392","53.17","268","247","52.04","23","23","50.00","31.35","31.86","49.60","289","244","54.22","112","108","50.91","12","7","63.16","177","136","56.55","4","9","30.77","393","301","56.63","7","5","58.33","8.58","90.69","0.993","92","91","55","410","62.59","219","134","140","61.00"
"417","Elias Pettersson","VAN","C","28","577.45","644","547","54.07","478","403","54.26","298","253","54.08","34","36","48.57","42.33","34.14","55.35","355","247","58.97","162","106","60.45","18","14","56.25","193","141","57.78","10","10","50.00","394","374","51.30","3","6","33.33","11.41","85.77","0.972","124","116","142","278","46.62","281","150","229","55.10"
"246","Tony DeAngelo","NYI","D","34","593.9","635","540","54.04","459","402","53.31","295","265","52.68","25","26","49.02","29.95","30.76","49.33","300","282","51.55","97","143","40.42","12","18","40.00","203","139","59.36","11","8","57.89","394","308","56.13","2","0","100.00","8.47","90.19","0.987","91","114","80","461","53.22","227","176","157","59.11"
"4","Evgeni Malkin","PIT","C","26","455.16666666667","463","394","54.03","347","291","54.39","245","188","56.58","43","20","68.25","35.02","20.03","63.61","266","208","56.12","124","83","59.90","22","8","73.33","142","125","53.18","10","10","50.00","272","192","58.62","8","1","88.89","17.55","89.36","1.069","103","67","17","338","85.83","204","105","65","75.84"
"182","MacKenzie Weegar","CGY","D","34","811.08333333333","881","750","54.02","609","537","53.14","429","373","53.49","24","48","33.33","43.08","43.82","49.57","384","379","50.33","161","177","47.63","10","25","28.57","223","202","52.47","5","14","26.32","532","410","56.48","7","5","58.33","5.59","87.13","0.927","104","155","140","704","42.62","289","256","242","54.43"
"127","J.T. Miller","NYR","C","33","687.1","761","648","54.01","558","489","53.30","339","313","51.99","34","42","44.74","45.31","41.21","52.37","405","315","56.25","178","120","59.73","14","20","41.18","227","195","53.79","11","12","47.83","473","364","56.51","7","5","58.33","10.03","86.58","0.966","150","142","132","435","53.19","312","207","228","57.78"
"181","Nate Schmidt","UTA","D","35","714.31666666667","702","598","54.00","523","444","54.08","344","302","53.25","37","35","51.39","37.6","35.33","51.55","351","307","53.34","157","138","53.22","17","18","48.57","194","169","53.44","13","14","48.15","401","356","52.97","6","2","75.00","10.76","88.41","0.992","114","142","109","608","51.12","238","198","201","54.21"
"33","John Carlson","WSH","D","29","657.31666666667","727","620","53.97","531","460","53.58","342","301","53.19","45","41","52.33","46.78","40.41","53.65","368","318","53.64","151","140","51.89","20","21","48.78","217","178","54.94","13","13","50.00","444","361","55.16","10","4","71.43","13.16","86.38","0.995","84","82","97","419","46.41","252","171","217","53.73"
"305","Roope Hintz","DAL","C","29","507.63333333333","517","441","53.97","388","308","55.75","277","208","57.11","53","22","70.67","37.65","22.85","62.23","298","209","58.78","136","86","61.26","27","10","72.97","162","123","56.84","16","6","72.73","305","271","52.95","9","3","75.00","19.13","89.42","1.086","132","111","93","313","58.67","226","161","189","54.46"
"802","Berkly Catton","SEA","C","21","260.85","258","220","53.97","185","152","54.90","110","97","53.14","11","9","55.00","11.09","9.64","53.49","100","81","55.25","34","37","47.89","4","4","50.00","66","44","60.00","3","2","60.00","179","138","56.47","4","2","66.67","10.00","90.72","1.007","66","53","19","217","77.65","103","59","42","71.03"
"410","Cody Glass","N.J","C","22","286.08333333333","266","227","53.96","190","163","53.82","131","116","53.04","15","11","57.69","12.53","11.37","52.42","126","118","51.64","49","51","49.00","8","6","57.14","77","67","53.47","4","3","57.14","153","120","56.04","3","2","60.00","11.45","90.52","1.020","37","66","50","246","42.53","69","93","98","41.32"
"98","Ondrej Palat","N.J","L","33","431.18333333333","454","389","53.86","328","274","54.49","224","187","54.50","22","18","55.00","23.07","18.53","55.45","226","186","54.85","85","76","52.80","9","9","50.00","141","110","56.18","10","6","62.50","240","230","51.06","2","3","40.00","9.82","90.37","1.002","77","81","52","403","59.69","134","117","108","55.37"
"586","Dylan Holloway","STL","L","33","589.71666666667","580","498","53.80","415","358","53.69","286","247","53.66","28","34","45.16","30.76","25.21","54.96","302","224","57.41","113","96","54.07","10","15","40.00","189","128","59.62","15","9","62.50","351","276","55.98","3","8","27.27","9.79","86.23","0.960","123","106","57","420","68.33","205","153","122","62.69"
"763","Gavin Brindley","COL","C","21","209.5","223","192","53.73","161","131","55.14","121","80","60.20","15","10","60.00","12.5","9.61","56.54","120","93","56.34","50","42","54.35","8","7","53.33","70","51","57.85","3","1","75.00","120","109","52.40","4","2","66.67","12.40","87.50","0.999","40","51","22","183","64.52","68","76","56","54.84"
"618","Cole Perfetti","WPG","C","18","278.56666666667","271","234","53.66","191","175","52.19","119","110","51.97","12","15","44.44","13.37","11.68","53.36","120","105","53.33","61","41","59.80","9","5","64.29","59","64","47.97","1","5","16.67","183","128","58.84","2","5","28.57","10.08","86.36","0.964","60","57","24","195","71.43","104","78","52","66.67"
"82","Vladimir Tarasenko","MIN","R","27","417.26666666667","479","415","53.58","353","273","56.39","231","176","56.76","23","13","63.89","28.87","21.04","57.85","227","183","55.37","94","79","54.34","9","5","64.29","133","104","56.12","7","2","77.78","318","248","56.18","5","4","55.56","9.96","92.61","1.026","105","83","54","219","66.04","215","140","130","62.32"
"208","Tyler Bertuzzi","CHI","L","30","546.21666666667","572","496","53.56","419","376","52.70","273","247","52.50","38","30","55.88","29.08","26.06","52.73","290","226","56.20","110","104","51.40","21","15","58.33","180","122","59.60","8","9","47.06","355","285","55.47","8","5","61.54","13.92","87.85","1.018","121","99","56","347","68.36","232","153","132","63.74"
"319","Joel Eriksson Ek","MIN","C","34","677.61666666667","715","620","53.56","551","450","55.04","366","290","55.79","44","27","61.97","46.53","36.75","55.87","344","294","53.92","150","127","54.15","22","9","70.97","194","167","53.74","9","9","50.00","466","399","53.87","11","6","64.71","12.02","90.69","1.027","142","138","152","286","48.30","299","201","276","52.00"
"290","Vince Dunn","SEA","D","31","708.96666666667","731","634","53.55","519","452","53.45","346","271","56.08","34","33","50.75","38.22","37.19","50.68","355","274","56.44","135","121","52.73","16","12","57.14","220","153","58.98","7","8","46.67","502","371","57.50","11","10","52.38","9.83","87.82","0.976","158","133","74","408","68.10","319","200","177","64.31"
"266","Viktor Arvidsson","BOS","L","25","356.33333333333","410","356","53.52","299","253","54.17","190","167","53.22","21","14","60.00","22.52","21.04","51.70","195","175","52.70","70","78","47.30","9","8","52.94","125","97","56.31","9","4","69.23","237","195","54.86","3","1","75.00","11.05","91.62","1.027","68","71","47","253","59.13","125","101","107","53.88"
"737","Shane Wright","SEA","C","31","434.31666666667","438","381","53.48","318","269","54.17","200","170","54.05","17","13","56.67","24.14","16.28","59.72","196","157","55.52","88","63","58.28","10","8","55.56","108","94","53.47","3","1","75.00","273","220","55.38","4","3","57.14","8.50","92.35","1.009","118","82","32","356","78.67","171","105","70","70.95"
"803","Macklin Celebrini","S.J","C","34","694.65","706","614","53.48","498","466","51.66","350","314","52.71","60","29","67.42","42.22","32.95","56.16","381","288","56.95","139","136","50.55","24","14","63.16","242","152","61.42","24","7","77.42","447","342","56.65","12","6","66.67","17.14","90.76","1.079","141","110","60","414","70.15","328","175","157","67.63"
"229","Joel Hanley","CGY","D","31","473.46666666667","487","424","53.46","332","297","52.78","228","198","53.52","13","23","36.11","20.51","21.7","48.59","223","197","53.10","83","99","45.60","4","15","21.05","140","98","58.82","8","5","61.54","288","238","54.75","1","3","25.00","5.70","88.38","0.941","44","83","85","526","34.11","150","128","134","52.82"
"773","Ryan Leonard","WSH","R","29","386.48333333333","409","356","53.46","295","251","54.03","206","152","57.54","25","10","71.43","23.11","17.9","56.35","202","178","53.16","86","69","55.48","13","5","72.22","116","109","51.56","9","3","75.00","226","186","54.85","3","1","75.00","12.14","93.42","1.056","48","94","42","305","53.33","100","116","76","56.82"
"294","Mikko Rantanen","DAL","R","33","667.41666666667","688","600","53.42","497","413","54.62","361","291","55.37","55","30","64.71","51.14","31.2","62.11","428","273","61.06","187","112","62.54","32","13","71.11","241","161","59.95","14","10","58.33","373","352","51.45","9","4","69.23","15.24","89.69","1.049","144","110","68","391","67.92","318","176","169","65.30"
"378","Jake Bean","CGY","D","16","255.26666666667","273","238","53.42","194","159","54.96","133","108","55.19","7","15","31.82","12.18","10.73","53.17","126","115","52.28","56","55","50.45","4","7","36.36","70","60","53.85","2","6","25.00","152","139","52.23","1","2","33.33","5.26","86.11","0.914","27","43","34","271","44.26","66","70","58","53.23"
"639","Emil Heineman","NYI","L","34","536.53333333333","546","476","53.42","395","351","52.95","260","218","54.39","27","18","60.00","31.74","28.58","52.62","259","252","50.68","101","124","44.89","13","11","54.17","158","128","55.24","9","5","64.29","327","251","56.57","3","1","75.00","10.38","91.74","1.021","98","102","84","409","53.85","170","143","147","53.63"
"744","Ethen Frank","WSH","C","22","253.53333333333","242","211","53.42","176","149","54.15","116","98","54.21","14","11","56.00","14.48","9.09","61.42","124","82","60.19","69","33","67.65","8","6","57.14","55","49","52.88","3","3","50.00","130","143","47.62","3","2","60.00","12.07","88.78","1.008","34","60","53","207","39.08","55","74","75","42.31"
"505","Spencer Stastney","EDM, NSH","D","33","492.21666666667","463","404","53.40","326","292","52.75","198","195","50.38","14","24","36.84","21.5","22.13","49.28","217","206","51.30","93","103","47.45","9","15","37.50","124","103","54.63","4","6","40.00","278","229","54.83","1","3","25.00","7.07","87.69","0.948","51","99","51","488","50.00","137","155","130","51.31"
"69","Mats Zuccarello","MIN","R","15","268.7","277","242","53.37","219","175","55.58","133","121","52.36","14","12","53.85","17.44","10.94","61.45","145","105","58.00","64","45","58.72","5","8","38.46","81","60","57.45","3","1","75.00","155","138","52.90","6","2","75.00","10.53","90.08","1.006","66","34","24","152","73.33","129","59","48","72.88"
"590","Justin Sourdif","WSH","R","32","429.63333333333","436","381","53.37","306","266","53.50","208","160","56.52","16","11","59.26","21.16","18.26","53.68","201","166","54.77","93","73","56.02","9","6","60.00","108","93","53.73","6","4","60.00","240","242","49.79","1","1","50.00","7.69","93.13","1.008","51","86","88","347","36.69","97","119","157","38.19"
"31","Erik Karlsson","PIT","D","32","774.5","807","708","53.27","599","532","52.96","405","347","53.86","50","34","59.52","51.58","41.74","55.27","439","374","54.00","182","153","54.33","24","10","70.59","257","221","53.77","15","12","55.56","486","407","54.42","9","11","45.00","12.35","90.20","1.025","136","137","120","406","53.13","325","217","249","56.62"
"801","Zeev Buium","MIN, VAN","D","33","614.61666666667","636","558","53.27","460","418","52.39","306","288","51.52","30","22","57.69","35.56","29.79","54.41","320","267","54.51","134","120","52.76","15","10","60.00","186","147","55.86","8","8","50.00","369","313","54.11","7","3","70.00","9.80","92.36","1.022","87","76","47","426","64.93","211","142","140","60.11"
"299","Tommy Novak","PIT","C","32","426.35","449","394","53.26","325","270","54.62","209","182","53.45","23","18","56.10","23.69","18.22","56.52","244","188","56.48","99","72","57.89","11","4","73.33","145","116","55.56","9","11","45.00","237","197","54.61","3","3","50.00","11.00","90.11","1.011","78","77","26","378","75.00","138","104","67","67.32"
"397","Trevor Moore","L.A","L","31","494.6","503","442","53.23","337","320","51.29","217","216","50.12","16","19","45.71","24.12","21.97","52.33","222","207","51.75","112","89","55.72","9","8","52.94","110","118","48.25","4","6","40.00","282","280","50.18","3","5","37.50","7.37","91.20","0.986","62","99","92","374","40.26","122","147","176","40.94"
"95","John Klingberg","S.J","D","25","532.08333333333","546","480","53.22","375","362","50.88","257","255","50.20","37","26","58.73","27.36","23.42","53.87","278","228","54.94","97","91","51.60","21","14","60.00","181","137","56.92","9","5","64.29","342","283","54.72","7","5","58.33","14.40","89.80","1.042","88","87","61","324","59.06","236","137","139","62.93"
"488","Curtis Douglas","T.B","C","25","150.45","124","109","53.22","98","80","55.06","63","54","53.85","5","4","55.56","7.13","4.53","61.15","66","47","58.41","32","15","68.09","1","2","33.33","34","32","51.52","3","2","60.00","60","64","48.39","1","0","100.00","7.94","92.59","1.005","35","58","12","124","74.47","46","80","30","60.53"
"566","Aliaksei Protas","WSH","C","33","604.21666666667","639","563","53.16","471","406","53.71","306","248","55.23","37","25","59.68","36.53","33.07","52.49","308","277","52.65","139","120","53.67","18","13","58.06","169","157","51.84","8","8","50.00","370","349","51.46","10","3","76.92","12.09","89.92","1.020","89","112","112","450","44.28","174","158","203","46.15"
"165","Jordan Martinook","CAR","L","32","465.68333333333","500","441","53.13","347","331","51.18","206","221","48.24","21","28","42.86","23.55","28.41","45.32","227","254","47.19","102","110","48.11","8","16","33.33","125","144","46.47","8","7","53.33","301","259","53.75","3","4","42.86","10.19","87.33","0.975","96","153","163","263","37.07","152","203","253","37.53"
"322","Dennis Gilbert","OTT","D","1","13.833333333333","17","15","53.13","13","7","65.00","9","5","64.29","0","1","0.00","1.44","0.63","69.59","8","12","40.00","4","4","50.00","0","0","-","4","8","33.33","0","1","0.00","7","3","70.00","0","0","-","0.00","80.00","0.800","0","0","1","18","0.00","5","2","1","83.33"
"703","Seamus Casey","N.J","D","2","36.016666666667","34","30","53.13","20","26","43.48","12","20","37.50","0","3","0.00","0.77","1.26","38.17","13","15","46.43","0","6","0.00","0","1","0.00","13","9","59.09","0","2","0.00","24","16","60.00","0","0","-","0.00","85.00","0.850","10","7","4","27","71.43","22","8","7","75.86"
"729","Noah Ostlund","BUF","C","21","267.11666666667","249","220","53.09","183","150","54.95","125","88","58.69","13","10","56.52","11.67","10","53.85","115","93","55.29","45","31","59.21","6","3","66.67","70","62","53.03","5","5","50.00","139","114","54.94","2","1","66.67","10.40","88.64","0.990","66","54","20","223","76.74","109","79","41","72.67"
"777","Luca Pinelli","CBJ","C","3","41.3","43","38","53.09","33","28","54.10","25","21","54.35","1","2","33.33","2.65","2.24","54.13","28","20","58.33","12","11","52.17","1","2","33.33","16","9","64.00","0","0","-","17","15","53.13","0","0","-","4.00","90.48","0.945","8","7","3","32","72.73","12","10","6","66.67"
"603","Justin Barron","NSH","D","19","287.55","268","237","53.07","188","168","52.81","119","113","51.29","10","12","45.45","13.58","11.3","54.58","125","109","53.42","47","50","48.45","5","6","45.45","78","59","56.93","4","5","44.44","160","144","52.63","1","1","50.00","8.40","89.38","0.978","41","55","26","269","61.19","82","93","71","53.59"
"419","Owen Tippett","PHI","R","32","528.93333333333","511","452","53.06","378","336","52.94","245","209","53.96","30","25","54.55","29.16","21.88","57.13","275","226","54.89","112","79","58.64","12","8","60.00","163","147","52.58","10","11","47.62","289","243","54.32","7","4","63.64","12.24","88.04","1.003","107","106","84","394","56.02","196","162","154","56.00"
"94","Brendan Gallagher","MTL","R","33","425.36666666667","439","389","53.02","309","279","52.55","212","173","55.06","22","19","53.66","24.45","18.8","56.53","200","190","51.28","86","82","51.19","9","9","50.00","114","108","51.35","9","6","60.00","246","208","54.19","4","3","57.14","10.38","89.02","0.994","62","91","50","355","55.36","106","133","107","49.77"
"591","Jake Neighbours","STL","L","22","335.63333333333","326","289","53.01","217","217","50.00","145","141","50.70","20","25","44.44","15.9","17.47","47.64","167","134","55.48","72","51","58.54","11","5","68.75","95","83","53.37","6","9","40.00","200","172","53.76","2","10","16.67","13.79","82.27","0.961","81","57","56","260","59.12","129","79","94","57.85"
"727","Jani Nyman","SEA","R","21","222.55","230","204","53.00","166","140","54.25","107","91","54.04","6","3","66.67","10.97","9.75","52.95","101","88","53.44","41","39","51.25","4","3","57.14","60","49","55.05","2","0","100.00","148","110","57.36","0","0","-","5.61","96.70","1.023","59","44","12","189","83.10","87","58","31","73.73"
"757","Braeden Bowman","VGK","R","16","253.83333333333","274","243","53.00","204","181","52.99","138","112","55.20","16","14","53.33","17.39","11.12","61.00","150","114","56.82","65","45","59.09","13","4","76.47","85","69","55.19","0","4","0.00","159","142","52.82","3","4","42.86","11.59","87.50","0.991","69","45","23","165","75.00","116","60","56","67.44"
"198","Andre Burakovsky","CHI","L","28","483.9","516","458","52.98","375","350","51.72","255","235","52.04","38","26","59.38","25.41","24.36","51.05","269","246","52.23","93","115","44.71","19","11","63.33","176","131","57.33","14","10","58.33","308","218","58.56","4","4","50.00","14.90","88.94","1.038","108","105","28","334","79.41","198","136","76","72.26"
"56","Mattias Ekholm","EDM","D","34","698.35","709","632","52.87","526","468","52.92","353","309","53.32","39","42","48.15","38.73","40.02","49.18","327","340","49.03","139","152","47.77","11","24","31.43","188","188","50.00","17","9","65.38","429","364","54.10","10","7","58.82","11.05","86.41","0.975","92","128","134","475","40.71","218","199","239","47.70"
"630","Gage Goncalves","T.B","C","29","344.65","323","288","52.86","224","211","51.49","145","131","52.54","21","17","55.26","16.98","12.87","56.89","164","122","57.34","61","48","55.96","9","7","56.25","103","74","58.19","5","7","41.67","164","174","48.52","7","3","70.00","14.48","87.02","1.015","62","78","40","269","60.78","86","105","75","53.42"
"295","A.J. Greer","FLA","L","32","357.13333333333","337","301","52.82","237","214","52.55","161","140","53.49","20","15","57.14","16.1","13.8","53.85","169","135","55.59","72","55","56.69","12","11","52.17","97","80","54.80","4","3","57.14","186","175","51.52","4","1","80.00","12.42","89.29","1.017","65","67","52","320","55.56","113","104","93","54.85"
"799","Artyom Levshunov","CHI","D","31","533.95","526","470","52.81","394","369","51.64","262","247","51.47","32","24","57.14","26.18","26.87","49.36","256","222","53.56","107","115","48.20","19","12","61.29","149","107","58.20","8","8","50.00","351","256","57.83","5","4","55.56","12.21","90.28","1.025","123","87","36","343","77.36","254","123","105","70.75"
"287","Pavel Zacha","BOS","C","33","577.3","615","550","52.79","460","394","53.86","292","272","51.77","41","28","59.42","33.74","33.27","50.35","300","276","52.08","106","114","48.18","18","16","52.94","194","162","54.49","17","8","68.00","405","327","55.33","6","4","60.00","14.04","89.71","1.037","134","103","119","337","52.96","249","146","210","54.25"
"314","Thomas Chabot","OTT","D","18","394.58333333333","391","350","52.77","290","252","53.51","193","175","52.45","25","21","54.35","20.86","19.74","51.38","199","165","54.67","79","77","50.64","12","11","52.17","120","88","57.69","5","8","38.46","249","195","56.08","8","2","80.00","12.95","88.00","1.010","59","54","42","333","58.42","131","89","81","61.79"
"14","Jonathan Toews","WPG","C","32","497.36666666667","506","453","52.76","369","329","52.87","233","207","52.95","13","21","38.24","26.45","25.46","50.96","237","227","51.08","115","96","54.50","8","8","50.00","122","131","48.22","1","7","12.50","344","240","58.90","3","5","37.50","5.58","89.86","0.954","123","112","85","325","59.13","208","143","140","59.77"
"821","Max Shabanov","NYI","R","22","314.08333333333","327","293","52.74","245","208","54.08","164","150","52.23","15","15","50.00","17.11","16.41","51.04","172","143","54.60","55","62","47.01","9","6","60.00","117","81","59.09","5","7","41.67","192","153","55.65","1","2","33.33","9.15","90.00","0.991","74","52","39","219","65.49","121","75","73","62.37"
"418","Gabriel Vilardi","WPG","C","32","596.03333333333","609","547","52.68","460","422","52.15","311","297","51.15","48","35","57.83","40.38","33.08","54.97","345","268","56.28","161","120","57.30","24","20","54.55","184","148","55.42","16","9","64.00","373","271","57.92","7","6","53.85","15.43","88.22","1.036","160","98","47","352","77.29","280","140","104","72.92"
"171","Jaccob Slavin","CAR","D","3","51.583333333333","50","45","52.63","37","33","52.86","19","21","47.50","1","4","20.00","2.38","3.3","41.89","25","25","50.00","9","13","40.91","0","1","0.00","16","12","57.14","0","2","0.00","27","29","48.21","0","1","0.00","5.26","80.95","0.862","8","12","12","37","40.00","16","22","20","44.44"
